week_start,week_end,year,week_num,month,channel,spend_usd,impressions,clicks,ctr_pct
2025-01-01,2025-01-07,2025,1,1,Online,16475.57,1890371,64319,3.402
2025-01-01,2025-01-07,2025,1,1,Offline,10450.47,996991,22635,2.27
2025-01-01,2025-01-07,2025,1,1,Partner,5069.44,590705,17254,2.921
2025-01-08,2025-01-14,2025,2,1,Online,16204.65,1553049,30867,1.988
2025-01-08,2025-01-14,2025,2,1,Offline,10955.63,1104508,30800,2.789
2025-01-08,2025-01-14,2025,2,1,Partner,5367.92,596019,12100,2.03
2025-01-15,2025-01-21,2025,3,1,Online,15643.33,1836821,41956,2.284
2025-01-15,2025-01-21,2025,3,1,Offline,9763.05,1092492,35086,3.212
2025-01-15,2025-01-21,2025,3,1,Partner,5502.71,488747,12046,2.465
2025-01-22,2025-01-28,2025,4,1,Online,16369.0,1811670,40293,2.224
2025-01-22,2025-01-28,2025,4,1,Offline,10330.13,1210547,26097,2.156
2025-01-22,2025-01-28,2025,4,1,Partner,5190.76,501057,14357,2.865
2025-01-29,2025-02-04,2025,5,1,Online,15815.64,1658573,31382,1.892
2025-01-29,2025-02-04,2025,5,1,Offline,10709.8,1174238,32560,2.773
2025-01-29,2025-02-04,2025,5,1,Partner,5042.22,517936,12089,2.334
2025-02-05,2025-02-11,2025,6,2,Online,15858.71,1471750,43303,2.942
2025-02-05,2025-02-11,2025,6,2,Offline,10272.54,1112616,35108,3.155
2025-02-05,2025-02-11,2025,6,2,Partner,4918.46,500174,11634,2.326
2025-02-12,2025-02-18,2025,7,2,Online,16660.67,1994022,58848,2.951
2025-02-12,2025-02-18,2025,7,2,Offline,10541.09,1248419,26939,2.158
2025-02-12,2025-02-18,2025,7,2,Partner,5699.09,614506,12083,1.966
2025-02-19,2025-02-25,2025,8,2,Online,16313.19,1652672,56643,3.427
2025-02-19,2025-02-25,2025,8,2,Offline,9873.89,1157636,33369,2.883
2025-02-19,2025-02-25,2025,8,2,Partner,5020.9,542335,15680,2.891
2025-02-26,2025-03-04,2025,9,2,Online,14579.43,1498402,32522,2.17
2025-02-26,2025-03-04,2025,9,2,Offline,10701.7,965308,20614,2.135
2025-02-26,2025-03-04,2025,9,2,Partner,5458.76,525428,9579,1.823
2025-03-05,2025-03-11,2025,10,3,Online,18205.86,1807987,50612,2.799
2025-03-05,2025-03-11,2025,10,3,Offline,11108.28,1315084,31116,2.366
2025-03-05,2025-03-11,2025,10,3,Partner,5942.43,656529,14319,2.181
2025-03-12,2025-03-18,2025,11,3,Online,17824.98,2115293,71507,3.38
2025-03-12,2025-03-18,2025,11,3,Offline,11734.48,1158669,24708,2.132
2025-03-12,2025-03-18,2025,11,3,Partner,5662.24,543431,15980,2.941
2025-03-19,2025-03-25,2025,12,3,Online,16637.66,1483427,42414,2.859
2025-03-19,2025-03-25,2025,12,3,Offline,10772.32,1139692,21553,1.891
2025-03-19,2025-03-25,2025,12,3,Partner,5371.36,480621,10839,2.255
2025-03-26,2025-04-01,2025,13,3,Online,17065.25,1624964,51133,3.147
2025-03-26,2025-04-01,2025,13,3,Offline,11089.44,955558,21147,2.213
2025-03-26,2025-04-01,2025,13,3,Partner,5569.52,545172,16253,2.981
2025-04-02,2025-04-08,2025,14,4,Online,19401.68,1677596,58201,3.469
2025-04-02,2025-04-08,2025,14,4,Offline,11110.56,1104251,28704,2.599
2025-04-02,2025-04-08,2025,14,4,Partner,5590.7,557020,12953,2.325
2025-04-09,2025-04-15,2025,15,4,Online,19258.61,2171482,59892,2.758
2025-04-09,2025-04-15,2025,15,4,Offline,12574.7,1420586,28254,1.989
2025-04-09,2025-04-15,2025,15,4,Partner,5673.71,591685,13157,2.224
2025-04-16,2025-04-22,2025,16,4,Online,18468.5,1630095,46934,2.879
2025-04-16,2025-04-22,2025,16,4,Offline,11957.01,1322859,41480,3.136
2025-04-16,2025-04-22,2025,16,4,Partner,6329.03,609944,15516,2.544
2025-04-23,2025-04-29,2025,17,4,Online,17727.04,2069001,43181,2.087
2025-04-23,2025-04-29,2025,17,4,Offline,11326.9,1350674,39216,2.903
2025-04-23,2025-04-29,2025,17,4,Partner,6149.97,658853,15943,2.42
2025-04-30,2025-05-06,2025,18,4,Online,17412.59,1735575,51745,2.981
2025-04-30,2025-05-06,2025,18,4,Offline,11516.8,980689,21931,2.236
2025-04-30,2025-05-06,2025,18,4,Partner,5874.93,666186,15843,2.378
2025-05-07,2025-05-13,2025,19,5,Online,18394.89,1644731,41009,2.493
2025-05-07,2025-05-13,2025,19,5,Offline,13014.68,1301528,34484,2.65
2025-05-07,2025-05-13,2025,19,5,Partner,6287.19,653004,20657,3.163
2025-05-14,2025-05-20,2025,20,5,Online,18330.32,2067210,45365,2.195
2025-05-14,2025-05-20,2025,20,5,Offline,11867.99,1179060,40989,3.476
2025-05-14,2025-05-20,2025,20,5,Partner,6377.17,676115,15191,2.247
2025-05-21,2025-05-27,2025,21,5,Online,19878.21,1714253,45997,2.683
2025-05-21,2025-05-27,2025,21,5,Offline,12991.67,1479339,36695,2.48
2025-05-21,2025-05-27,2025,21,5,Partner,6176.05,667780,21324,3.193
2025-05-28,2025-06-03,2025,22,5,Online,17817.76,2113118,70000,3.313
2025-05-28,2025-06-03,2025,22,5,Offline,12726.62,1163607,34508,2.966
2025-05-28,2025-06-03,2025,22,5,Partner,5946.86,622922,15178,2.437
2025-06-04,2025-06-10,2025,23,6,Online,18933.5,1624830,32124,1.977
2025-06-04,2025-06-10,2025,23,6,Offline,13526.63,1167340,33778,2.894
2025-06-04,2025-06-10,2025,23,6,Partner,6911.32,593208,17951,3.026
2025-06-11,2025-06-17,2025,24,6,Online,20858.92,2268147,47483,2.093
2025-06-11,2025-06-17,2025,24,6,Offline,12038.94,1269393,27354,2.155
2025-06-11,2025-06-17,2025,24,6,Partner,6282.32,541289,13759,2.542
2025-06-18,2025-06-24,2025,25,6,Online,19364.18,1756827,35042,1.995
2025-06-18,2025-06-24,2025,25,6,Offline,12301.26,1077418,31281,2.903
2025-06-18,2025-06-24,2025,25,6,Partner,6672.71,743485,23720,3.19
2025-06-25,2025-07-01,2025,26,6,Online,19714.23,2113991,68206,3.226
2025-06-25,2025-07-01,2025,26,6,Offline,13458.98,1218230,40978,3.364
2025-06-25,2025-07-01,2025,26,6,Partner,6773.62,720232,14341,1.991
2025-07-02,2025-07-08,2025,27,7,Online,19578.54,1817898,47568,2.617
2025-07-02,2025-07-08,2025,27,7,Offline,11686.86,1369554,25632,1.872
2025-07-02,2025-07-08,2025,27,7,Partner,5740.63,600314,19831,3.303
2025-07-09,2025-07-15,2025,28,7,Online,18572.36,2002710,51181,2.556
2025-07-09,2025-07-15,2025,28,7,Offline,11924.39,1203064,22762,1.892
2025-07-09,2025-07-15,2025,28,7,Partner,5968.47,624230,16446,2.635
2025-07-16,2025-07-22,2025,29,7,Online,18663.03,2167148,68087,3.142
2025-07-16,2025-07-22,2025,29,7,Offline,13132.58,1545358,29448,1.906
2025-07-16,2025-07-22,2025,29,7,Partner,5876.95,532200,15552,2.922
2025-07-23,2025-07-29,2025,30,7,Online,19520.68,2169824,40008,1.844
2025-07-23,2025-07-29,2025,30,7,Offline,11527.73,1382048,34777,2.516
2025-07-23,2025-07-29,2025,30,7,Partner,6256.06,543373,12470,2.295
2025-07-30,2025-08-05,2025,31,7,Online,18290.7,1822997,48410,2.656
2025-07-30,2025-08-05,2025,31,7,Offline,12012.03,1332408,30116,2.26
2025-07-30,2025-08-05,2025,31,7,Partner,6089.38,697614,17501,2.509
2025-08-06,2025-08-12,2025,32,8,Online,19853.55,1701068,42955,2.525
2025-08-06,2025-08-12,2025,32,8,Offline,13518.6,1274593,26314,2.065
2025-08-06,2025-08-12,2025,32,8,Partner,6551.1,767058,26838,3.499
2025-08-13,2025-08-19,2025,33,8,Online,18264.29,1847179,47475,2.57
2025-08-13,2025-08-19,2025,33,8,Offline,12769.69,1197430,31626,2.641
2025-08-13,2025-08-19,2025,33,8,Partner,6837.19,643588,16415,2.551
2025-08-20,2025-08-26,2025,34,8,Online,20216.72,2213076,50090,2.263
2025-08-20,2025-08-26,2025,34,8,Offline,12466.26,1263874,39410,3.118
2025-08-20,2025-08-26,2025,34,8,Partner,5960.7,597197,12194,2.042
2025-08-27,2025-09-02,2025,35,8,Online,19613.83,2010502,51697,2.571
2025-08-27,2025-09-02,2025,35,8,Offline,13705.48,1426760,29442,2.064
2025-08-27,2025-09-02,2025,35,8,Partner,6443.06,727065,14772,2.032
2025-09-03,2025-09-09,2025,36,9,Online,20739.78,1869317,46392,2.482
2025-09-03,2025-09-09,2025,36,9,Offline,13663.7,1499734,46266,3.085
2025-09-03,2025-09-09,2025,36,9,Partner,6343.56,636348,11468,1.802
2025-09-10,2025-09-16,2025,37,9,Online,18836.53,1925926,55799,2.897
2025-09-10,2025-09-16,2025,37,9,Offline,14132.46,1217718,29934,2.458
2025-09-10,2025-09-16,2025,37,9,Partner,6829.4,710231,12911,1.818
2025-09-17,2025-09-23,2025,38,9,Online,18853.61,2057854,70754,3.438
2025-09-17,2025-09-23,2025,38,9,Offline,12991.8,1243269,32353,2.602
2025-09-17,2025-09-23,2025,38,9,Partner,6990.66,799269,23028,2.881
2025-09-24,2025-09-30,2025,39,9,Online,18673.29,1968018,41811,2.125
2025-09-24,2025-09-30,2025,39,9,Offline,12404.22,1129987,34972,3.095
2025-09-24,2025-09-30,2025,39,9,Partner,6349.21,663381,16011,2.414
2025-10-01,2025-10-07,2025,40,10,Online,28116.93,3051496,68936,2.259
2025-10-01,2025-10-07,2025,40,10,Offline,8854.88,998061,19402,1.944
2025-10-01,2025-10-07,2025,40,10,Partner,5001.81,596208,16370,2.746
2025-10-08,2025-10-14,2025,41,10,Online,25104.82,2151237,54813,2.548
2025-10-08,2025-10-14,2025,41,10,Offline,8979.21,800474,14424,1.802
2025-10-08,2025-10-14,2025,41,10,Partner,4931.36,544114,13497,2.481
2025-10-15,2025-10-21,2025,42,10,Online,27654.4,2450097,51205,2.09
2025-10-15,2025-10-21,2025,42,10,Offline,8372.5,901804,27340,3.032
2025-10-15,2025-10-21,2025,42,10,Partner,4569.55,520679,9887,1.899
2025-10-22,2025-10-28,2025,43,10,Online,24956.15,2492188,68075,2.732
2025-10-22,2025-10-28,2025,43,10,Offline,8229.3,826980,20218,2.445
2025-10-22,2025-10-28,2025,43,10,Partner,5076.96,546707,12570,2.299
2025-10-29,2025-11-04,2025,44,10,Online,24359.6,2116357,73153,3.457
2025-10-29,2025-11-04,2025,44,10,Offline,7851.1,921900,25537,2.77
2025-10-29,2025-11-04,2025,44,10,Partner,4526.8,491927,9281,1.887
2025-11-05,2025-11-11,2025,45,11,Online,19395.52,2025558,48929,2.416
2025-11-05,2025-11-11,2025,45,11,Offline,14300.14,1221428,22983,1.882
2025-11-05,2025-11-11,2025,45,11,Partner,6732.21,640348,16681,2.605
2025-11-12,2025-11-18,2025,46,11,Online,21316.29,2505946,54890,2.19
2025-11-12,2025-11-18,2025,46,11,Offline,14203.35,1294591,25105,1.939
