sale_id,date,year,month,week,product_id,product_name,is_new_product,region,channel,units_sold,unit_price,revenue,cogs,gross_profit,sessions,new_customers
1,2025-01-01,2025,1,1,P001,Analytics Suite,0,North,Online,10,484.78,4847.8,1909.8,2938.0,90,1
2,2025-01-01,2025,1,1,P002,Dashboard Pro,0,North,Offline,16,299.81,4796.96,1837.12,2959.84,128,3
3,2025-01-01,2025,1,1,P003,Data Connector Plus,0,North,Online,23,144.77,3329.71,1498.91,1830.8,299,5
4,2025-01-01,2025,1,1,P001,Analytics Suite,0,South,Partner,10,492.36,4923.6,2267.7,2655.9,140,2
5,2025-01-01,2025,1,1,P002,Dashboard Pro,0,South,Partner,14,292.82,4099.48,1599.64,2499.84,140,3
6,2025-01-01,2025,1,1,P003,Data Connector Plus,0,South,Online,22,147.6,3247.2,1470.92,1776.28,176,5
7,2025-01-01,2025,1,1,P001,Analytics Suite,0,East,Offline,11,495.36,5448.96,2413.18,3035.78,154,2
8,2025-01-01,2025,1,1,P002,Dashboard Pro,0,East,Online,14,293.48,4108.72,1654.94,2453.78,182,2
9,2025-01-01,2025,1,1,P003,Data Connector Plus,0,East,Online,21,146.61,3078.81,1309.56,1769.25,210,5
10,2025-01-01,2025,1,1,P001,Analytics Suite,0,West,Offline,9,494.67,4452.03,2108.79,2343.24,117,2
11,2025-01-01,2025,1,1,P002,Dashboard Pro,0,West,Offline,15,293.1,4396.5,1873.95,2522.55,135,3
12,2025-01-01,2025,1,1,P003,Data Connector Plus,0,West,Online,26,150.68,3917.68,1818.96,2098.72,260,6
13,2025-01-02,2025,1,1,P001,Analytics Suite,0,North,Online,9,484.99,4364.91,1687.59,2677.32,90,2
14,2025-01-02,2025,1,1,P002,Dashboard Pro,0,North,Online,15,302.91,4543.65,1906.35,2637.3,165,4
15,2025-01-02,2025,1,1,P003,Data Connector Plus,0,North,Online,23,146.9,3378.7,1466.02,1912.68,276,5
16,2025-01-02,2025,1,1,P001,Analytics Suite,0,South,Online,10,501.5,5015.0,2161.2,2853.8,90,1
17,2025-01-02,2025,1,1,P002,Dashboard Pro,0,South,Offline,13,292.0,3796.0,1700.79,2095.21,182,3
18,2025-01-02,2025,1,1,P003,Data Connector Plus,0,South,Offline,23,149.86,3446.78,1644.5,1802.28,230,6
19,2025-01-02,2025,1,1,P001,Analytics Suite,0,East,Offline,9,505.61,4550.49,2070.9,2479.59,108,2
20,2025-01-02,2025,1,1,P002,Dashboard Pro,0,East,Online,14,295.3,4134.2,1965.32,2168.88,112,3
21,2025-01-02,2025,1,1,P003,Data Connector Plus,0,East,Online,22,149.01,3278.22,1531.2,1747.02,176,4
22,2025-01-02,2025,1,1,P001,Analytics Suite,0,West,Online,10,502.26,5022.6,1989.7,3032.9,140,2
23,2025-01-02,2025,1,1,P002,Dashboard Pro,0,West,Offline,16,306.51,4904.16,1873.12,3031.04,176,4
24,2025-01-02,2025,1,1,P003,Data Connector Plus,0,West,Online,25,151.97,3799.25,1535.25,2264.0,200,5
25,2025-01-03,2025,1,1,P001,Analytics Suite,0,North,Offline,9,505.94,4553.46,1972.89,2580.57,126,1
26,2025-01-03,2025,1,1,P002,Dashboard Pro,0,North,Online,15,307.02,4605.3,2151.75,2453.55,180,3
27,2025-01-03,2025,1,1,P003,Data Connector Plus,0,North,Offline,22,149.35,3285.7,1482.8,1802.9,198,4
28,2025-01-03,2025,1,1,P001,Analytics Suite,0,South,Partner,10,495.21,4952.1,1941.7,3010.4,110,2
29,2025-01-03,2025,1,1,P002,Dashboard Pro,0,South,Online,14,300.58,4208.12,1602.16,2605.96,126,3
30,2025-01-03,2025,1,1,P003,Data Connector Plus,0,South,Online,21,145.13,3047.73,1179.78,1867.95,210,4
31,2025-01-03,2025,1,1,P001,Analytics Suite,0,East,Online,10,490.44,4904.4,2146.3,2758.1,120,2
